"Marca temporal","¿Cuál es tu edad?
","¿Cuál es tu género?
","¿En qué parte de México vives actualmente?","¿Cuál es tu nivel educativo más alto alcanzado?","¿Actualmente trabajas en el sector formal o informal?","Si trabajas en el sector informal, ¿a qué te dedicas?","¿Por qué decidiste trabajar en el sector informal? (","¿Crees que el gobierno debería regular más el sector informal?","¿Has intentado conseguir un empleo formal sin éxito?
","¿Qué ventajas ves en el trabajo informal frente al formal?","Qué iniciativa propondrías para mejorar la formalidad en México?"
"2025/07/30 4:15:40 p.m. GMT-6","18-25 años","Masculino","CDMX","Preparatoria","Desempleado","","","Sí, para garantizar derechos laborales","Sí, pero no encontré","Libertad de horario;No pagar impuestos;Mayor ingreso inmediato;No necesitas estudios formales","Que el gobierno apoye a emprendedores en cuanto a la burocracia e incentive con programas de apoyos a la formalidad."
"2025/07/30 4:28:57 p.m. GMT-6","18-25 años","Masculino","Estado de México","Preparatoria","Desempleado","","","Sí, para garantizar derechos laborales","No, prefiero la informalidad","Libertad de horario;No pagar impuestos;Mayor ingreso inmediato;No necesitas estudios formales","horarios más flexibles y de máximo 8 horas al día "
"2025/07/30 4:54:15 p.m. GMT-6","18-25 años","Masculino","CDMX","Preparatoria","Sector formal (empleo con contrato, prestaciones, seguro social)","KFC","Falta de oportunidades en empleos formales;No tengo estudios suficientes para un empleo formal","Sí, para garantizar derechos laborales","Sí, pero no encontré","Libertad de horario;Mayor ingreso inmediato",""
"2025/07/30 5:09:32 p.m. GMT-6","18-25 años","Masculino","CDMX","Universidad","Sector informal (trabajo independiente, sin contrato, sin seguro)","Carpintero","Mayor flexibilidad de horarios;No pago Impuestos","Sí, para garantizar derechos laborales","No me interesa un empleo formal","Libertad de horario;No pagar impuestos","Una ley para poder tener leyes de los trabajos informales y trabajadores que estan ahi"
"2025/07/30 5:27:55 p.m. GMT-6","18-25 años","Masculino","CDMX","Universidad","Sector informal (trabajo independiente, sin contrato, sin seguro)","Emprendi mi negocio ","Gano más dinero que en un empleo formal;Es un negocio familiar","Sí, para garantizar derechos laborales","No me interesa un empleo formal","Libertad de horario","Asesoría para que estoy pequeños negocios, emprendedores o personas que estemos en lo informal, sepamos bien como formalizar todo de forma ágil "
"2025/07/30 5:49:00 p.m. GMT-6","26-35 años","Femenino","Estado de México","Universidad","Sector informal (trabajo independiente, sin contrato, sin seguro)","Lic. en Optometría (Empleada) ","Falta de oportunidades en empleos formales","Sí, para garantizar derechos laborales","Sí, pero no encontré","No pagar impuestos","
Regular e incentivar a todo aquel que paga impuestos, así como también mejorar los horarios de trabajo, los sueldos y un aumento en el salario mínimo. De igual forma, sería recomendable que los canales legales verificarán que en efecto, todos los negocios cuenten con las normas establecidas para poder operar así como el personal capacitado, y que cuente este mismo con título para poder ejercer asegurando así una mayor formalidad."
"2025/07/30 8:16:06 p.m. GMT-6","18-25 años","Femenino","Estado de México","Universidad","Sector informal (trabajo independiente, sin contrato, sin seguro)","Comercio ","Mayor flexibilidad de horarios;Gano más dinero que en un empleo formal;No pago Impuestos","No sé","No, prefiero la informalidad","Libertad de horario;No pagar impuestos;Mayor ingreso inmediato;No necesitas estudios formales",""
"2025/07/30 9:21:36 p.m. GMT-6","36-45 años","Femenino","CDMX","Preparatoria","Sector formal (empleo con contrato, prestaciones, seguro social)","","","Sí, para garantizar derechos laborales","Sí, pero no encontré","Libertad de horario",""
"2025/07/30 9:24:33 p.m. GMT-6","18-25 años","Femenino","CDMX","Universidad","Desempleado","","","No sé","No me interesa un empleo formal","Mayor ingreso inmediato","Educación política y financiera desde edad temprana así como la regulación, actualización y modificación continua de leyes"
"2025/07/30 9:27:58 p.m. GMT-6","18-25 años","Masculino","CDMX","Preparatoria","Desempleado","","","Sí, para garantizar derechos laborales","Sí, pero no encontré","Libertad de horario",""
"2025/07/30 9:38:07 p.m. GMT-6","36-45 años","Femenino","CDMX","Preparatoria","Sector informal (trabajo independiente, sin contrato, sin seguro)","Ventas","Falta de oportunidades en empleos formales","Sí, para garantizar derechos laborales","Sí, pero no encontré","Mayor ingreso inmediato","Clausura para los establecimientos que no den prestaciones de ley ,  más oportunidades a gente de 40 en adelante que no haya discriminación por edad "
